experiment,model_type,hidden_dim,hidden_layers,hidden_activation,num_layers,epochs,learning_rate,lr_schedule,lr_step_size,lr_decay,l2_lambda,final_learning_rate,batch_size,train_loss,val_loss,eval_loss,prediction_x4,parameter_count,weight_l2_norm,max_abs_weight,bias_l2_norm
deep_mlp_relu_16_8,deep_mlp,16,"16,8",relu,3,500,0.005,step,50,0.5,0.001,0.005,2,9.934813,0.0,0.0,2.844883,177,0.0,0.0,2.844883
deeP_mlp_relu_8_4,deep_mlp,8,"8,4",relu,3,500,0.005,step,50,0.5,0.001,0.005,2,9.934813,0.0,0.0,2.844883,57,0.0,0.0,2.844883
deep_mlp_relu,deep_mlp,0,,none,,500,0.005,step,50,0.5,0.001,0.005,2,9.934813,0.0,0.0,2.844883,57,0.0,0.0,2.844883
deep_mlp_tanh_16_8,deep_mlp,16,"16,8",tanh,3,500,0.005,step,50,0.5,0.001,0.005,2,9.934813,0.0,0.0,2.844883,177,0.0,0.0,2.844883
deep_mlp_tanh_8_4,deep_mlp,8,"8,4",tanh,3,500,0.005,step,50,0.5,0.001,0.005,2,9.934813,0.0,0.0,2.844883,57,0.0,0.0,2.844883
linear_fast,linear,0,,none,1,50,0.02,step,50,0.5,0.0,0.02,2,0.000116,0.000118,0.0,7.986207,2,2.490771,2.490771,4.657773
linear_long,,,,,,500,0.005,step,50,0.5,0.001,1e-05,2,0.066707,0.085756,0.0,7.610335,2,2.373676,2.373676,4.438376
linear_slow,linear,0,,none,1,200,0.01,constant,50,0.5,0.0,0.01,2,0.0,0.0,0.0,7.9997,2,2.494356,2.494356,4.666475
mlp_long,,,,,,500,0.005,step,50,0.5,0.001,0.005,2,9.934813,0.0,0.0,0.196628,25,0.0,0.0,0.196628
mlp_relu,mlp,8,,relu,,500,0.005,step,50,0.5,0.001,0.005,2,9.934813,0.0,0.0,0.196628,25,0.0,0.0,0.196628
mlp_tanh,mlp,8,,tanh,,500,0.005,step,50,0.5,0.001,0.005,2,9.934813,0.0,0.0,0.196628,25,0.0,0.0,0.196628
linear_multi,linear,0,,none,1,500,0.01,step,50,0.5,0.001,0.000156,2,1.8e-05,2.3e-05,6.3e-05,0.0,3,3.081174,2.232502,9.996786
mlp_multi,mlp,8,,relu,2,500,0.005,step,50,0.5,0.001,1e-05,2,15.533516,125.042374,3.304271,0.0,33,0.0,0.0,9.817765
